1031.0	560
2263.0	563
2975.0	523
5291.0	574
5563.0	526
5989.0	526
6094.0	570
6124.0	592
6201.0	527
692.0	589
7114.0	512
818.0	304
931.0	382
1810.0	408
1887.0	554
2440.0	536
2800.0	542
3537.0	540
5726.0	559
5784.0	591
6587.0	548
6903.0	541
7962.0	563
8622.0	579
9054.0	548
9854.0	514
9942.0	272
1770.0	508
2889.0	550
3255.0	554
3651.0	564
5862.0	557
5936.0	516
6225.0	558
6368.0	575
6951.0	486
7273.0	541
7435.0	566
7468.0	492
1353.0	553
1540.0	555
1672.0	569
1823.0	554
2879.0	533
3454.0	523
4084.0	562
5382.0	581
7032.0	532
7131.0	537
7579.0	521
7692.0	583
7997.0	545
8253.0	570
8745.0	518
8800.0	556
9290.0	549
3323.0	557
4074.0	505
4470.0	575
5479.0	564
5710.0	555
6692.0	587
7190.0	524
7569.0	512
8328.0	564
8757.0	553
8892.0	561
9082.0	576
9112.0	535
9208.0	429
1245.0	581
1564.0	524
2381.0	538
2408.0	579
2444.0	552
246.0	548
2510.0	554
2554.0	487
2903.0	522
3492.0	568
4303.0	545
4325.0	521
4644.0	551
4732.0	586
6080.0	546
6503.0	543
6624.0	574
6844.0	565
7119.0	417
8714.0	528
8879.0	547
1136.0	535
137.0	492
1499.0	549
1947.0	555
225.0	520
2272.0	579
2797.0	538
2874.0	604
4087.0	594
4216.0	490
4241.0	553
6092.0	530
6416.0	573
6724.0	589
69.0	390
6966.0	573
7912.0	562
8674.0	558
9309.0	565
937.0	561
995.0	553
2677.0	571
3898.0	189
3953.0	560
3975.0	491
4671.0	535
5573.0	541
5911.0	570
6101.0	555
6860.0	505
7630.0	605
7641.0	513
8169.0	508
9409.0	570
9500.0	520
9607.0	520
9676.0	556
