,station,weight,latitude,longitude,elevation,label
13769,ASN00096033,12.0,-41.8997,146.6694,1057.0,9342.0
17143,ASN00096065,15.0,-41.8983,146.6672,1065.0,9342.0
207,ASN00097016,6.0,-41.8833,145.3333,172.2,9342.0
20502,ASN00097054,10.0,-41.8822,145.3358,175.0,9342.0
17134,ASN00092003,38.0,-41.8739,148.3036,11.0,5467.0
208,ASN00097085,16.0,-41.8444,145.5419,1119.5,9342.0
13764,ASN00093027,29.0,-41.79,146.9886,180.0,9342.0
3513,ASN00097073,13.0,-41.7772,145.5381,165.0,9342.0
20493,ASN00091306,14.0,-41.7256,147.0794,148.0,9342.0
23755,ASN00091022,26.0,-41.7219,147.0811,148.0,9342.0
6924,ASN00091269,17.0,-41.6839,147.2831,173.0,9342.0
202,ASN00092000,8.0,-41.6667,147.75,610.0,5467.0
23763,ASN00092012,26.0,-41.6428,147.9664,237.0,5467.0
23775,ASN00096005,10.0,-41.6383,145.9444,903.0,9342.0
23765,ASN00092100,8.0,-41.635,147.7292,779.2,5467.0
10400,ASN00096034,3.0,-41.5836,145.9358,865.0,9342.0
13772,ASN00097078,2.0,-41.5722,145.7197,670.0,9342.0
13761,ASN00091311,8.0,-41.5492,147.2144,166.9,9342.0
6922,ASN00091104,70.0,-41.5397,147.2033,166.0,9342.0
17131,ASN00091211,8.0,-41.5333,146.65,240.0,9342.0
23761,ASN00091187,3.0,-41.5167,146.6333,253.0,9342.0
6921,ASN00091049,58.0,-41.5,147.2,24.4,9342.0
6934,ASN00097047,20.0,-41.4892,145.2083,352.0,3123.0
17130,ASN00091123,21.0,-41.4667,147.15,137.0,9342.0
17135,ASN00092094,30.0,-41.4639,148.2644,3.0,5467.0
20490,ASN00091119,38.0,-41.4506,146.1089,590.0,9342.0
13756,ASN00091179,6.0,-41.45,147.15,106.7,9342.0
20491,ASN00091218,8.0,-41.45,147.1667,8.0,9342.0
6933,ASN00097014,20.0,-41.4372,145.5258,609.0,9342.0
24351,CI000085799,3.0,-41.433,-73.1,90.0,5654.0
3501,ASN00091237,33.0,-41.4194,147.1222,5.0,9342.0
200,ASN00091131,9.0,-41.4,147.4167,1322.8,5467.0
17133,ASN00091291,16.0,-41.3886,146.3219,294.2,9342.0
23757,ASN00091091,33.0,-41.3831,146.3278,280.0,9342.0
3505,ASN00092120,12.0,-41.3381,148.2792,48.0,5467.0
204,ASN00092033,44.0,-41.3225,148.2489,5.0,5467.0
3502,ASN00091240,4.0,-41.3,145.9833,80.0,9342.0
23758,ASN00091099,24.0,-41.2314,145.7061,410.0,9342.0
23756,ASN00091080,32.0,-41.2083,146.3467,11.0,9342.0
201,ASN00091186,30.0,-41.2039,146.265,127.0,9342.0
20489,ASN00091111,19.0,-41.1833,146.3667,12.0,9342.0
20492,ASN00091232,16.0,-41.18,146.3817,46.0,9342.0
17132,ASN00091219,37.0,-41.1708,147.4883,197.5,5467.0
6923,ASN00091126,22.0,-41.1708,146.4267,8.0,9342.0
10388,ASN00091246,1.0,-41.1608,147.5156,200.0,5467.0
3500,ASN00091116,12.0,-41.15,147.5167,199.9,5467.0
3503,ASN00091259,17.0,-41.1492,145.1517,344.0,3123.0
13757,ASN00091193,10.0,-41.1167,146.8333,15.0,9342.0
17127,ASN00091079,23.0,-41.0867,145.5517,260.0,9342.0
6920,ASN00091030,28.0,-41.0828,145.7725,155.0,9342.0
20487,ASN00091009,48.0,-41.0661,145.9431,8.0,9342.0
17126,ASN00091057,106.0,-41.0567,146.7883,28.0,9342.0
10389,ASN00091293,15.0,-41.0556,146.7856,3.0,9342.0
199,ASN00091007,9.0,-41.0067,147.3917,14.0,5467.0
3504,ASN00091284,18.0,-41.0025,147.3869,52.0,5467.0
23759,ASN00091107,28.0,-40.9972,145.7292,12.0,9342.0
17129,ASN00091112,25.0,-40.9942,145.7292,9.4,9342.0
23764,ASN00092045,55.0,-40.9928,148.3467,19.7,5467.0
23760,ASN00091132,1.0,-40.9667,147.4333,3.0,5467.0
23762,ASN00091206,1.0,-40.9333,144.7,109.7,3123.0
17128,ASN00091082,13.0,-40.9272,144.7489,77.0,3123.0
13758,ASN00091223,42.0,-40.9089,144.7094,107.3,3123.0
24528,NZ000093417,39.0,-40.9,174.983,7.0,5467.0
20488,ASN00091092,36.0,-40.8492,145.1125,7.0,3123.0
13760,ASN00091292,16.0,-40.8347,145.0847,7.5,3123.0
13755,ASN00091094,19.0,-40.7642,145.2944,10.0,9342.0
13762,ASN00092037,20.0,-40.7314,148.1253,11.0,5467.0
20494,ASN00092123,11.0,-40.7292,148.125,15.0,5467.0
13759,ASN00091245,20.0,-40.6828,144.69,94.0,3123.0
11287,SH000068906,50.0,-40.35,-9.883,54.0,5579.0
23778,ASN00099022,3.0,-40.2028,148.2372,11.2,5467.0
6937,ASN00099005,51.0,-40.0911,148.0024,9.0,5467.0
17146,ASN00098001,41.0,-39.9322,143.8486,24.0,3123.0
