"0010101"	561
"0000101"	554
"0010001"	264
"0010100"	588
"0010111"	438
"0011101"	564
"0110101"	493
"0000001"	578
"0000100"	554
"0000111"	579
"0001101"	581
"0010000"	556
"0010011"	553
"0010110"	310
"0011001"	586
"0011100"	588
"0011111"	582
"0100101"	579
"0110001"	604
"0110100"	611
"0110111"	552
"0111101"	578
"0000000"	462
"0000011"	573
"0000110"	581
"0001001"	548
"0001100"	582
"0001111"	572
"0010010"	560
"0011000"	575
"0011011"	344
"0011110"	601
"0100001"	587
"0100100"	601
"0100111"	600
"0101101"	598
"0110000"	582
"0110011"	609
"0110110"	597
"0111001"	563
"0111100"	545
"0111111"	532
"0000010"	561
"0001000"	557
"0001011"	559
"0001110"	570
"0011010"	568
"0100000"	567
"0100011"	574
"0100110"	593
"0101001"	585
"0101100"	587
"0101111"	556
"0110010"	604
"0111000"	619
"0111011"	564
"0111110"	528
"0001010"	565
"0100010"	575
"0101000"	595
"0101011"	538
"0101110"	563
"0111010"	580
"0101010"	511
